RTE00001,Atlanta,GA,Chicago,IL,677.00,1.70,0.19,1
RTE00002,Atlanta,GA,Miami,FL,697.00,2.08,0.22,1
RTE00003,Chicago,IL,Los Angeles,CA,2003.00,2.55,0.29,3
RTE00004,Chicago,IL,Portland,OR,2017.00,1.84,0.19,3
RTE00005,Chicago,IL,Las Vegas,NV,1749.00,2.41,0.26,3
RTE00006,Chicago,IL,Charlotte,NC,675.00,2.13,0.28,1
RTE00007,Dallas,TX,New York,NY,1576.00,2.54,0.32,2
RTE00008,Dallas,TX,Denver,CO,762.00,2.62,0.15,1
RTE00009,Dallas,TX,Indianapolis,IN,878.00,1.95,0.17,1
RTE00010,New York,NY,Philadelphia,PA,92.00,1.61,0.17,1
