FAC00001,Houston Distribution Center,Cross-Dock,Houston,TX,29.760400,-95.369800,125,24/7
FAC00002,Kansas City Hub,Cross-Dock,Kansas City,MO,39.099700,-94.578600,33,7AM-7PM
FAC00003,Charlotte Distribution Center,Distribution Center,Charlotte,NC,35.227100,-80.843100,138,24/7
FAC00004,Chicago Distribution Center,Distribution Center,Chicago,IL,41.878100,-87.629800,38,8AM-5PM
FAC00005,Indianapolis Hub,Distribution Center,Indianapolis,IN,39.768400,-86.158100,56,8AM-5PM
FAC00006,Atlanta Warehouse,Distribution Center,Atlanta,GA,33.749000,-84.388000,149,8AM-5PM
FAC00007,Detroit Warehouse,Terminal,Detroit,MI,42.331400,-83.045800,44,24/7
FAC00008,Philadelphia Hub,Cross-Dock,Philadelphia,PA,39.952600,-75.165200,110,8AM-5PM
FAC00009,Nashville Distribution Center,Terminal,Nashville,TN,36.162700,-86.781600,115,6AM-10PM
FAC00010,Indianapolis Distribution Center,Warehouse,Indianapolis,IN,39.768400,-86.158100,92,6AM-10PM
